peak	level_m	date	period	phrase	tmax_c	tmin_c	chill_c	rain_mm	snow_cm	freezing_level_m	wind
Becca-di-Luseney	2000	2026-09-09	night	light rain	9	8	7	1.2	—	3300	5   N
Becca-di-Luseney	2000	2026-09-10	AM	light rain	8	7	7	4	—	3250	5   SE
Becca-di-Luseney	2000	2026-09-10	PM	rain shwrs	9	9	9	3	—	3250	5   ENE
Becca-di-Luseney	2000	2026-09-10	night	rain shwrs	8	7	7	3	—	3250	5   NW
Becca-di-Luseney	2000	2026-09-11	AM	some clouds	10	7	6	—	—	3400	5   NNW
Becca-di-Luseney	2000	2026-09-11	PM	rain shwrs	11	11	11	0.1	—	3550	5   N
Becca-di-Luseney	2000	2026-09-11	night	rain shwrs	9	8	8	0.4	—	3450	0   WNW
Becca-di-Luseney	2000	2026-09-12	AM	clear	11	9	9	—	—	3600	0   N
Becca-di-Luseney	2000	2026-09-12	PM	clear	13	13	13	—	—	3900	5   NNW
Becca-di-Luseney	2000	2026-09-12	night	clear	10	10	9	—	—	4000	5   NW
Becca-di-Luseney	2000	2026-09-13	AM	some clouds	12	10	10	—	—	3900	5   NW
Becca-di-Luseney	2000	2026-09-13	PM	cloudy	13	12	11	—	—	3700	10   NW
Becca-di-Luseney	2000	2026-09-13	night	rain shwrs	9	8	6	0.1	—	3450	10   NW
Becca-di-Luseney	2000	2026-09-14	AM	clear	11	8	7	—	—	3600	0   NNE
Becca-di-Luseney	2000	2026-09-14	PM	clear	13	13	13	—	—	3850	5   NNW
Becca-di-Luseney	2000	2026-09-14	night	clear	11	10	10	—	—	3850	5   W
Becca-di-Luseney	3000	2026-09-09	night	cloudy	2	2	-1	—	—	3300	5   ENE
Becca-di-Luseney	3000	2026-09-10	AM	light snow	2	1	-1	—	2	3250	5   ESE
Becca-di-Luseney	3000	2026-09-10	PM	snow shwrs	2	2	0	0.9	1	3250	5   NE
Becca-di-Luseney	3000	2026-09-10	night	snow shwrs	2	1	-1	—	1	3250	0   NNW
Becca-di-Luseney	3000	2026-09-11	AM	some clouds	3	2	0	—	—	3400	5   NW
Becca-di-Luseney	3000	2026-09-11	PM	rain shwrs	4	3	1	0.1	—	3550	5   NNW
Becca-di-Luseney	3000	2026-09-11	night	rain shwrs	3	2	0	0.4	—	3450	0   W
Becca-di-Luseney	3000	2026-09-12	AM	clear	4	3	3	—	—	3600	5   NNW
Becca-di-Luseney	3000	2026-09-12	PM	clear	6	5	4	—	—	3900	10   NNW
Becca-di-Luseney	3000	2026-09-12	night	clear	6	5	3	—	—	4000	5   NW
Becca-di-Luseney	3000	2026-09-13	AM	some clouds	6	6	5	—	—	3900	10   NW
Becca-di-Luseney	3000	2026-09-13	PM	cloudy	6	5	2	—	—	3700	15   NW
Becca-di-Luseney	3000	2026-09-13	night	rain shwrs	4	3	0	0.1	—	3450	10   NW
Becca-di-Luseney	3000	2026-09-14	AM	clear	4	3	1	—	—	3600	5   NNW
Becca-di-Luseney	3000	2026-09-14	PM	clear	5	5	3	—	—	3850	10   NNW
Becca-di-Luseney	3000	2026-09-14	night	clear	5	5	3	—	—	3850	5   WNW
Corno-Bianco	2000	2026-09-09	night	rain shwrs	9	7	7	1.3	—	3350	0   N
Corno-Bianco	2000	2026-09-10	AM	light rain	8	7	7	4	—	3250	5   E
Corno-Bianco	2000	2026-09-10	PM	rain shwrs	9	9	9	2	—	3250	5   E
Corno-Bianco	2000	2026-09-10	night	rain shwrs	8	6	5	3	—	3250	5   NW
Corno-Bianco	2000	2026-09-11	AM	some clouds	10	7	6	—	—	3450	0   NW
Corno-Bianco	2000	2026-09-11	PM	rain shwrs	12	11	11	0.2	—	3550	0   ENE
Corno-Bianco	2000	2026-09-11	night	rain shwrs	9	7	7	0.8	—	3400	0   NW
Corno-Bianco	2000	2026-09-12	AM	clear	11	8	8	—	—	3600	0   SSW
Corno-Bianco	2000	2026-09-12	PM	some clouds	12	12	12	—	—	3850	0   S
Corno-Bianco	2000	2026-09-12	night	clear	10	9	9	—	—	4000	5   NW
Corno-Bianco	2000	2026-09-13	AM	some clouds	12	9	9	—	—	3950	0   W
Corno-Bianco	2000	2026-09-13	PM	cloudy	13	12	12	—	—	3800	5   WNW
