km_from	km_to	from	to	from_type	to_type	dist_km	climb_m	moving_hours_115h_plan	moving_hours_barrier_pace	assumed_life_base_stop_h	t_min_c	t_max_c	high_point_m	est_water_litres	est_rate_l_per_h	leave_at	dry_waypoints_crossed
0.0	12.8	Courmayeur START	Baite Youlaz	START	R	12.8	1396	2.83	3.93	0.0	12.4	17.4	2568	2.37	0.84	2026-09-13 10:00	Col Arp
12.8	19.0	Baite Youlaz	La Thuile	R	R+A	6.2	99	0.77	1.23	0.0	17.4	21.5	2036	0.65	0.85	2026-09-13 12:49	
19.0	27.9	La Thuile	Rifugio Deffeyes	R+A	R	8.9	1143	2.79	3.87	0.0	14.0	21.5	2490	2.68	0.96	2026-09-13 13:35	
27.9	32.8	Rifugio Deffeyes	Bivacco Zappelli	R	R+A	4.9	406	1.57	2.2	0.0	10.0	14.0	2856	1.05	0.67	2026-09-13 16:23	Col Passo Alto
32.8	36.0	Bivacco Zappelli	Col de la Crosatie	R+A	A	3.2	704	1.81		0.0	8.1	13.8	2823	1.05	0.58	2026-09-13 17:57	
36.0	42.8	Col de la Crosatie	Planaval	A	R	6.8	66	1.32		0.0	8.1	15.1	2823	0.63	0.48	2026-09-13 19:46	Lac du Fond
42.8	48.5	Planaval	BV Valgrisenche	R	BV	5.7	218	1.06	1.55	0.0	13.6	15.1	1693	0.65	0.62	2026-09-13 21:05	
48.5	54.9	BV Valgrisenche	Rif. Chalet de l'Epee	BV	R	6.4	773	3.06	5.35	0.5	7.2	13.6	2370	1.68	0.55	2026-09-13 22:38	
54.9	62.9	Rif. Chalet de l'Epee	Rhemes-Notre-Dame	R	R+A	8.0	491	1.58	1.9	0.0	3.9	11.4	2844	0.83	0.53	2026-09-14 01:42	Col Fenetre
62.9	68.3	Rhemes-Notre-Dame	Col Entrelor	R+A	A	5.4	1287	3.25		0.0	3.2	11.4	3004	1.71	0.53	2026-09-14 03:17	
68.3	78.3	Col Entrelor	Eaux Rousses	A	R+A	10.0	80	1.92		0.0	3.2	11.3	3004	0.81	0.42	2026-09-14 06:32	
78.3	90.6	Eaux Rousses	Col Loson	R+A	A	12.3	1688	3.33		0.0	8.3	11.3	3295	1.75	0.53	2026-09-14 08:27	
90.6	95.2	Col Loson	Rif. Vittorio Sella	A	R	4.6	39	0.57		0.0	8.3	12.4	3295	0.25	0.44	2026-09-14 11:47	
95.2	104.0	Rif. Vittorio Sella	BV Cogne	R	BV	8.8	98	1.84	2.65	0.0	12.4	22.5	2585	1.47	0.79	2026-09-14 12:21	Valnontey
